Disease,Count_number_of_URLs,URL,Symptoms_and_Causes,Diagnosis_and_Tests,Management_and_Treatment,Prevention,Prognosis,Living_with
17838-rocky-mountain-spotted-fever,5,https://my.clevelandclinic.org/health/diseases/17838-rocky-mountain-spotted-fever,https://my.clevelandclinic.org/health/diseases/17838-rocky-mountain-spotted-fever#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17838-rocky-mountain-spotted-fever#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17838-rocky-mountain-spotted-fever#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17838-rocky-mountain-spotted-fever#prevention,https://my.clevelandclinic.org/health/diseases/17838-rocky-mountain-spotted-fever#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17838-rocky-mountain-spotted-fever#living-with
21183-subdural-hematoma,5,https://my.clevelandclinic.org/health/diseases/21183-subdural-hematoma,https://my.clevelandclinic.org/health/diseases/21183-subdural-hematoma#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21183-subdural-hematoma#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21183-subdural-hematoma#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21183-subdural-hematoma#prevention,https://my.clevelandclinic.org/health/diseases/21183-subdural-hematoma#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21183-subdural-hematoma#living-with
17353-pericarditis,5,https://my.clevelandclinic.org/health/diseases/17353-pericarditis,https://my.clevelandclinic.org/health/diseases/17353-pericarditis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17353-pericarditis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17353-pericarditis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17353-pericarditis#prevention,https://my.clevelandclinic.org/health/diseases/17353-pericarditis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17353-pericarditis#living-with
15802-pulmonary-embolism-who-is-at-risk,5,https://my.clevelandclinic.org/health/diseases/15802-pulmonary-embolism-who-is-at-risk,https://my.clevelandclinic.org/health/diseases/15802-pulmonary-embolism-who-is-at-risk#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/15802-pulmonary-embolism-who-is-at-risk#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/15802-pulmonary-embolism-who-is-at-risk#management-and-treatment,https://my.clevelandclinic.org/health/diseases/15802-pulmonary-embolism-who-is-at-risk#prevention,https://my.clevelandclinic.org/health/diseases/15802-pulmonary-embolism-who-is-at-risk#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/15802-pulmonary-embolism-who-is-at-risk#living-with
17776-trench-mouth,5,https://my.clevelandclinic.org/health/diseases/17776-trench-mouth,https://my.clevelandclinic.org/health/diseases/17776-trench-mouth#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17776-trench-mouth#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17776-trench-mouth#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17776-trench-mouth#prevention,https://my.clevelandclinic.org/health/diseases/17776-trench-mouth#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17776-trench-mouth#living-with
15790-pectus-carinatum,5,https://my.clevelandclinic.org/health/diseases/15790-pectus-carinatum,https://my.clevelandclinic.org/health/diseases/15790-pectus-carinatum#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/15790-pectus-carinatum#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/15790-pectus-carinatum#management-and-treatment,https://my.clevelandclinic.org/health/diseases/15790-pectus-carinatum#prevention,https://my.clevelandclinic.org/health/diseases/15790-pectus-carinatum#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/15790-pectus-carinatum#living-with
17869-ductal-carcinoma-in-situ-dcis,5,https://my.clevelandclinic.org/health/diseases/17869-ductal-carcinoma-in-situ-dcis,https://my.clevelandclinic.org/health/diseases/17869-ductal-carcinoma-in-situ-dcis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17869-ductal-carcinoma-in-situ-dcis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17869-ductal-carcinoma-in-situ-dcis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17869-ductal-carcinoma-in-situ-dcis#prevention,https://my.clevelandclinic.org/health/diseases/17869-ductal-carcinoma-in-situ-dcis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17869-ductal-carcinoma-in-situ-dcis#living-with
13792-mediastinal-tumor,5,https://my.clevelandclinic.org/health/diseases/13792-mediastinal-tumor,https://my.clevelandclinic.org/health/diseases/13792-mediastinal-tumor#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/13792-mediastinal-tumor#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/13792-mediastinal-tumor#management-and-treatment,https://my.clevelandclinic.org/health/diseases/13792-mediastinal-tumor#prevention,https://my.clevelandclinic.org/health/diseases/13792-mediastinal-tumor#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/13792-mediastinal-tumor#living-with
11184-oral-cancer,5,https://my.clevelandclinic.org/health/diseases/11184-oral-cancer,https://my.clevelandclinic.org/health/diseases/11184-oral-cancer#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/11184-oral-cancer#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/11184-oral-cancer#management-and-treatment,https://my.clevelandclinic.org/health/diseases/11184-oral-cancer#prevention,https://my.clevelandclinic.org/health/diseases/11184-oral-cancer#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/11184-oral-cancer#living-with
16911-deep-vein-thrombosis-dvt,5,https://my.clevelandclinic.org/health/diseases/16911-deep-vein-thrombosis-dvt,https://my.clevelandclinic.org/health/diseases/16911-deep-vein-thrombosis-dvt#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/16911-deep-vein-thrombosis-dvt#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/16911-deep-vein-thrombosis-dvt#management-and-treatment,https://my.clevelandclinic.org/health/diseases/16911-deep-vein-thrombosis-dvt#prevention,https://my.clevelandclinic.org/health/diseases/16911-deep-vein-thrombosis-dvt#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/16911-deep-vein-thrombosis-dvt#living-with
15007-mumps,5,https://my.clevelandclinic.org/health/diseases/15007-mumps,https://my.clevelandclinic.org/health/diseases/15007-mumps#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/15007-mumps#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/15007-mumps#management-and-treatment,https://my.clevelandclinic.org/health/diseases/15007-mumps#prevention,https://my.clevelandclinic.org/health/diseases/15007-mumps#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/15007-mumps#living-with
15891-anhidrosis-lack-of-sweat,5,https://my.clevelandclinic.org/health/diseases/15891-anhidrosis-lack-of-sweat,https://my.clevelandclinic.org/health/diseases/15891-anhidrosis-lack-of-sweat#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/15891-anhidrosis-lack-of-sweat#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/15891-anhidrosis-lack-of-sweat#management-and-treatment,https://my.clevelandclinic.org/health/diseases/15891-anhidrosis-lack-of-sweat#prevention,https://my.clevelandclinic.org/health/diseases/15891-anhidrosis-lack-of-sweat#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/15891-anhidrosis-lack-of-sweat#living-with
17781-posterior-urethral-valves,5,https://my.clevelandclinic.org/health/diseases/17781-posterior-urethral-valves,https://my.clevelandclinic.org/health/diseases/17781-posterior-urethral-valves#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17781-posterior-urethral-valves#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17781-posterior-urethral-valves#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17781-posterior-urethral-valves#prevention,https://my.clevelandclinic.org/health/diseases/17781-posterior-urethral-valves#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17781-posterior-urethral-valves#living-with
17940-cutaneous-t-cell-lymphoma,5,https://my.clevelandclinic.org/health/diseases/17940-cutaneous-t-cell-lymphoma,https://my.clevelandclinic.org/health/diseases/17940-cutaneous-t-cell-lymphoma#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17940-cutaneous-t-cell-lymphoma#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17940-cutaneous-t-cell-lymphoma#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17940-cutaneous-t-cell-lymphoma#prevention,https://my.clevelandclinic.org/health/diseases/17940-cutaneous-t-cell-lymphoma#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17940-cutaneous-t-cell-lymphoma#living-with
15381-bile-duct-injuries-during-gallbladder-surgery,5,https://my.clevelandclinic.org/health/diseases/15381-bile-duct-injuries-during-gallbladder-surgery,https://my.clevelandclinic.org/health/diseases/15381-bile-duct-injuries-during-gallbladder-surgery#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/15381-bile-duct-injuries-during-gallbladder-surgery#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/15381-bile-duct-injuries-during-gallbladder-surgery#management-and-treatment,https://my.clevelandclinic.org/health/diseases/15381-bile-duct-injuries-during-gallbladder-surgery#prevention,https://my.clevelandclinic.org/health/diseases/15381-bile-duct-injuries-during-gallbladder-surgery#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/15381-bile-duct-injuries-during-gallbladder-surgery#living-with
17867-autoimmune-hepatitis,5,https://my.clevelandclinic.org/health/diseases/17867-autoimmune-hepatitis,https://my.clevelandclinic.org/health/diseases/17867-autoimmune-hepatitis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17867-autoimmune-hepatitis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17867-autoimmune-hepatitis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17867-autoimmune-hepatitis#prevention,https://my.clevelandclinic.org/health/diseases/17867-autoimmune-hepatitis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17867-autoimmune-hepatitis#living-with
6139-carcinoma-of-unknown-primary,5,https://my.clevelandclinic.org/health/diseases/6139-carcinoma-of-unknown-primary,https://my.clevelandclinic.org/health/diseases/6139-carcinoma-of-unknown-primary#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/6139-carcinoma-of-unknown-primary#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/6139-carcinoma-of-unknown-primary#management-and-treatment,https://my.clevelandclinic.org/health/diseases/6139-carcinoma-of-unknown-primary#prevention,https://my.clevelandclinic.org/health/diseases/6139-carcinoma-of-unknown-primary#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/6139-carcinoma-of-unknown-primary#living-with
14735-pediatric-and-congenital-heart-conditions,5,https://my.clevelandclinic.org/health/diseases/14735-pediatric-and-congenital-heart-conditions,https://my.clevelandclinic.org/health/diseases/14735-pediatric-and-congenital-heart-conditions#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/14735-pediatric-and-congenital-heart-conditions#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/14735-pediatric-and-congenital-heart-conditions#management-and-treatment,https://my.clevelandclinic.org/health/diseases/14735-pediatric-and-congenital-heart-conditions#prevention,https://my.clevelandclinic.org/health/diseases/14735-pediatric-and-congenital-heart-conditions#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/14735-pediatric-and-congenital-heart-conditions#living-with
17853-alcoholic-hepatitis,5,https://my.clevelandclinic.org/health/diseases/17853-alcoholic-hepatitis,https://my.clevelandclinic.org/health/diseases/17853-alcoholic-hepatitis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17853-alcoholic-hepatitis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17853-alcoholic-hepatitis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17853-alcoholic-hepatitis#prevention,https://my.clevelandclinic.org/health/diseases/17853-alcoholic-hepatitis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17853-alcoholic-hepatitis#living-with
9133-ovarian-cysts,5,https://my.clevelandclinic.org/health/diseases/9133-ovarian-cysts,https://my.clevelandclinic.org/health/diseases/9133-ovarian-cysts#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/9133-ovarian-cysts#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/9133-ovarian-cysts#management-and-treatment,https://my.clevelandclinic.org/health/diseases/9133-ovarian-cysts#prevention,https://my.clevelandclinic.org/health/diseases/9133-ovarian-cysts#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/9133-ovarian-cysts#living-with
17935-velopharyngeal-dysfunction-vpd,5,https://my.clevelandclinic.org/health/diseases/17935-velopharyngeal-dysfunction-vpd,https://my.clevelandclinic.org/health/diseases/17935-velopharyngeal-dysfunction-vpd#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17935-velopharyngeal-dysfunction-vpd#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17935-velopharyngeal-dysfunction-vpd#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17935-velopharyngeal-dysfunction-vpd#prevention,https://my.clevelandclinic.org/health/diseases/17935-velopharyngeal-dysfunction-vpd#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17935-velopharyngeal-dysfunction-vpd#living-with
16561-ashermans-syndrome,5,https://my.clevelandclinic.org/health/diseases/16561-ashermans-syndrome,https://my.clevelandclinic.org/health/diseases/16561-ashermans-syndrome#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/16561-ashermans-syndrome#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/16561-ashermans-syndrome#management-and-treatment,https://my.clevelandclinic.org/health/diseases/16561-ashermans-syndrome#prevention,https://my.clevelandclinic.org/health/diseases/16561-ashermans-syndrome#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/16561-ashermans-syndrome#living-with
9467-obesity-in-children,5,https://my.clevelandclinic.org/health/diseases/9467-obesity-in-children,https://my.clevelandclinic.org/health/diseases/9467-obesity-in-children#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/9467-obesity-in-children#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/9467-obesity-in-children#management-and-treatment,https://my.clevelandclinic.org/health/diseases/9467-obesity-in-children#prevention,https://my.clevelandclinic.org/health/diseases/9467-obesity-in-children#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/9467-obesity-in-children#living-with
10792-appendicitis-in-children,5,https://my.clevelandclinic.org/health/diseases/10792-appendicitis-in-children,https://my.clevelandclinic.org/health/diseases/10792-appendicitis-in-children#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/10792-appendicitis-in-children#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/10792-appendicitis-in-children#management-and-treatment,https://my.clevelandclinic.org/health/diseases/10792-appendicitis-in-children#prevention,https://my.clevelandclinic.org/health/diseases/10792-appendicitis-in-children#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/10792-appendicitis-in-children#living-with
14788-arrhythmias-in-children,5,https://my.clevelandclinic.org/health/diseases/14788-arrhythmias-in-children,https://my.clevelandclinic.org/health/diseases/14788-arrhythmias-in-children#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/14788-arrhythmias-in-children#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/14788-arrhythmias-in-children#management-and-treatment,https://my.clevelandclinic.org/health/diseases/14788-arrhythmias-in-children#prevention,https://my.clevelandclinic.org/health/diseases/14788-arrhythmias-in-children#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/14788-arrhythmias-in-children#living-with
17743-acromegaly,5,https://my.clevelandclinic.org/health/diseases/17743-acromegaly,https://my.clevelandclinic.org/health/diseases/17743-acromegaly#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17743-acromegaly#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17743-acromegaly#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17743-acromegaly#prevention,https://my.clevelandclinic.org/health/diseases/17743-acromegaly#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17743-acromegaly#living-with
17921-eisenmenger-syndrome,5,https://my.clevelandclinic.org/health/diseases/17921-eisenmenger-syndrome,https://my.clevelandclinic.org/health/diseases/17921-eisenmenger-syndrome#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17921-eisenmenger-syndrome#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17921-eisenmenger-syndrome#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17921-eisenmenger-syndrome#prevention,https://my.clevelandclinic.org/health/diseases/17921-eisenmenger-syndrome#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17921-eisenmenger-syndrome#living-with
15812-stomach-cancer,5,https://my.clevelandclinic.org/health/diseases/15812-stomach-cancer,https://my.clevelandclinic.org/health/diseases/15812-stomach-cancer#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/15812-stomach-cancer#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/15812-stomach-cancer#management-and-treatment,https://my.clevelandclinic.org/health/diseases/15812-stomach-cancer#prevention,https://my.clevelandclinic.org/health/diseases/15812-stomach-cancer#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/15812-stomach-cancer#living-with
15153-boils-and-carbuncles,5,https://my.clevelandclinic.org/health/diseases/15153-boils-and-carbuncles,https://my.clevelandclinic.org/health/diseases/15153-boils-and-carbuncles#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/15153-boils-and-carbuncles#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/15153-boils-and-carbuncles#management-and-treatment,https://my.clevelandclinic.org/health/diseases/15153-boils-and-carbuncles#prevention,https://my.clevelandclinic.org/health/diseases/15153-boils-and-carbuncles#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/15153-boils-and-carbuncles#living-with
17169-leg-and-foot-ulcers,5,https://my.clevelandclinic.org/health/diseases/17169-leg-and-foot-ulcers,https://my.clevelandclinic.org/health/diseases/17169-leg-and-foot-ulcers#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17169-leg-and-foot-ulcers#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17169-leg-and-foot-ulcers#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17169-leg-and-foot-ulcers#prevention,https://my.clevelandclinic.org/health/diseases/17169-leg-and-foot-ulcers#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17169-leg-and-foot-ulcers#living-with
17687-serotonin-syndrome,5,https://my.clevelandclinic.org/health/diseases/17687-serotonin-syndrome,https://my.clevelandclinic.org/health/diseases/17687-serotonin-syndrome#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17687-serotonin-syndrome#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17687-serotonin-syndrome#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17687-serotonin-syndrome#prevention,https://my.clevelandclinic.org/health/diseases/17687-serotonin-syndrome#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17687-serotonin-syndrome#living-with
22109-nursemaid-elbow,5,https://my.clevelandclinic.org/health/diseases/22109-nursemaid-elbow,https://my.clevelandclinic.org/health/diseases/22109-nursemaid-elbow#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22109-nursemaid-elbow#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22109-nursemaid-elbow#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22109-nursemaid-elbow#prevention,https://my.clevelandclinic.org/health/diseases/22109-nursemaid-elbow#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22109-nursemaid-elbow#living-with
16749-arrhythmia,5,https://my.clevelandclinic.org/health/diseases/16749-arrhythmia,https://my.clevelandclinic.org/health/diseases/16749-arrhythmia#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/16749-arrhythmia#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/16749-arrhythmia#management-and-treatment,https://my.clevelandclinic.org/health/diseases/16749-arrhythmia#prevention,https://my.clevelandclinic.org/health/diseases/16749-arrhythmia#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/16749-arrhythmia#living-with
21939-immunotherapy-treatment-breast-cancer,5,https://my.clevelandclinic.org/health/diseases/21939-immunotherapy-treatment-breast-cancer,https://my.clevelandclinic.org/health/diseases/21939-immunotherapy-treatment-breast-cancer#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21939-immunotherapy-treatment-breast-cancer#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21939-immunotherapy-treatment-breast-cancer#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21939-immunotherapy-treatment-breast-cancer#prevention,https://my.clevelandclinic.org/health/diseases/21939-immunotherapy-treatment-breast-cancer#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21939-immunotherapy-treatment-breast-cancer#living-with
14473-fanconi-anemia-fa,5,https://my.clevelandclinic.org/health/diseases/14473-fanconi-anemia-fa,https://my.clevelandclinic.org/health/diseases/14473-fanconi-anemia-fa#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/14473-fanconi-anemia-fa#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/14473-fanconi-anemia-fa#management-and-treatment,https://my.clevelandclinic.org/health/diseases/14473-fanconi-anemia-fa#prevention,https://my.clevelandclinic.org/health/diseases/14473-fanconi-anemia-fa#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/14473-fanconi-anemia-fa#living-with
21721-seborrheic-keratosis,5,https://my.clevelandclinic.org/health/diseases/21721-seborrheic-keratosis,https://my.clevelandclinic.org/health/diseases/21721-seborrheic-keratosis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21721-seborrheic-keratosis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21721-seborrheic-keratosis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21721-seborrheic-keratosis#prevention,https://my.clevelandclinic.org/health/diseases/21721-seborrheic-keratosis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21721-seborrheic-keratosis#living-with
21150-high-blood-pressure-in-children,5,https://my.clevelandclinic.org/health/diseases/21150-high-blood-pressure-in-children,https://my.clevelandclinic.org/health/diseases/21150-high-blood-pressure-in-children#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21150-high-blood-pressure-in-children#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21150-high-blood-pressure-in-children#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21150-high-blood-pressure-in-children#prevention,https://my.clevelandclinic.org/health/diseases/21150-high-blood-pressure-in-children#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21150-high-blood-pressure-in-children#living-with
12093-postherpetic-neuralgia,5,https://my.clevelandclinic.org/health/diseases/12093-postherpetic-neuralgia,https://my.clevelandclinic.org/health/diseases/12093-postherpetic-neuralgia#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/12093-postherpetic-neuralgia#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/12093-postherpetic-neuralgia#management-and-treatment,https://my.clevelandclinic.org/health/diseases/12093-postherpetic-neuralgia#prevention,https://my.clevelandclinic.org/health/diseases/12093-postherpetic-neuralgia#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/12093-postherpetic-neuralgia#living-with
12232-hyperemesis-gravidarum-severe-nausea--vomiting-during-pregnancy,5,https://my.clevelandclinic.org/health/diseases/12232-hyperemesis-gravidarum-severe-nausea--vomiting-during-pregnancy,https://my.clevelandclinic.org/health/diseases/12232-hyperemesis-gravidarum-severe-nausea--vomiting-during-pregnancy#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/12232-hyperemesis-gravidarum-severe-nausea--vomiting-during-pregnancy#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/12232-hyperemesis-gravidarum-severe-nausea--vomiting-during-pregnancy#management-and-treatment,https://my.clevelandclinic.org/health/diseases/12232-hyperemesis-gravidarum-severe-nausea--vomiting-during-pregnancy#prevention,https://my.clevelandclinic.org/health/diseases/12232-hyperemesis-gravidarum-severe-nausea--vomiting-during-pregnancy#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/12232-hyperemesis-gravidarum-severe-nausea--vomiting-during-pregnancy#living-with
15095-addisons-disease,5,https://my.clevelandclinic.org/health/diseases/15095-addisons-disease,https://my.clevelandclinic.org/health/diseases/15095-addisons-disease#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/15095-addisons-disease#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/15095-addisons-disease#management-and-treatment,https://my.clevelandclinic.org/health/diseases/15095-addisons-disease#prevention,https://my.clevelandclinic.org/health/diseases/15095-addisons-disease#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/15095-addisons-disease#living-with
9878-kleptomania,5,https://my.clevelandclinic.org/health/diseases/9878-kleptomania,https://my.clevelandclinic.org/health/diseases/9878-kleptomania#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/9878-kleptomania#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/9878-kleptomania#management-and-treatment,https://my.clevelandclinic.org/health/diseases/9878-kleptomania#prevention,https://my.clevelandclinic.org/health/diseases/9878-kleptomania#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/9878-kleptomania#living-with
15766-homonymous-hemianopsia-,5,https://my.clevelandclinic.org/health/diseases/15766-homonymous-hemianopsia-,https://my.clevelandclinic.org/health/diseases/15766-homonymous-hemianopsia-#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/15766-homonymous-hemianopsia-#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/15766-homonymous-hemianopsia-#management-and-treatment,https://my.clevelandclinic.org/health/diseases/15766-homonymous-hemianopsia-#prevention,https://my.clevelandclinic.org/health/diseases/15766-homonymous-hemianopsia-#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/15766-homonymous-hemianopsia-#living-with
17975-conversion-disorder-in-adults,5,https://my.clevelandclinic.org/health/diseases/17975-conversion-disorder-in-adults,https://my.clevelandclinic.org/health/diseases/17975-conversion-disorder-in-adults#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17975-conversion-disorder-in-adults#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17975-conversion-disorder-in-adults#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17975-conversion-disorder-in-adults#prevention,https://my.clevelandclinic.org/health/diseases/17975-conversion-disorder-in-adults#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17975-conversion-disorder-in-adults#living-with
9617-heartburn-overview,5,https://my.clevelandclinic.org/health/diseases/9617-heartburn-overview,https://my.clevelandclinic.org/health/diseases/9617-heartburn-overview#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/9617-heartburn-overview#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/9617-heartburn-overview#management-and-treatment,https://my.clevelandclinic.org/health/diseases/9617-heartburn-overview#prevention,https://my.clevelandclinic.org/health/diseases/9617-heartburn-overview#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/9617-heartburn-overview#living-with
5230-cancer-fatigue,5,https://my.clevelandclinic.org/health/diseases/5230-cancer-fatigue,https://my.clevelandclinic.org/health/diseases/5230-cancer-fatigue#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/5230-cancer-fatigue#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/5230-cancer-fatigue#management-and-treatment,https://my.clevelandclinic.org/health/diseases/5230-cancer-fatigue#prevention,https://my.clevelandclinic.org/health/diseases/5230-cancer-fatigue#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/5230-cancer-fatigue#living-with
